Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
1080,190,65.8,6,4,2,0.4,6.8,0,0,9,6,0,0,0,0,0,0,0,119
1130,140,66.4,6,4,2,0.4,6.2,0,0,9,6,0,0,0,0,0,0,0,94
1130,140,65.8,6,4,2,0.4,6.8,0,0,9,6,0,0,0,0,0,0,0,130
1150,83,66.4,6,4,2,0.4,6.2,0,0,9,6,0,0,0,0,0,0,0,445
1150,83,65.8,6,4,2,0.4,6.8,0,0,9,6,0,0,0,0,0,0,0,626
980,250,62.72,5.6,7,3.5,2,4.5,0,0,7.5,6.5,0.1,0.5,0,0.08,0,0,0,544.1
1070,140,62.72,5.6,7,3.5,2,4.5,0,0,7.5,6.5,0.1,0.5,0,0.08,0,0,0,514
1100,140,62.72,5.6,7,3.5,2,4.5,0,0,7.5,6.5,0.1,0.5,0,0.08,0,0,0,226
1120,140,62.72,5.6,7,3.5,2,4.5,0,0,7.5,6.5,0.1,0.5,0,0.08,0,0,0,140
980,250,66.4,5.2,8.5,3.8,1.5,1.6,0,0,6,7,0,0,0,0,0,0,0,275
1100,140,66.4,5.2,8.5,3.8,1.5,1.6,0,0,6,7,0,0,0,0,0,0,0,132
980,250,60.2,5.2,10,5,2,3,0,1,8.5,5,0.1,0,0,0,0,0,0,197
980,250,61.65,6.2,8,7,2,3,0,0,7,5,0.15,0,0,0,0,0,0,228
980,250,59.3,5.6,10,5,2,3,0,0,9,6,0.1,0,0,0,0,0,0,218
1100,140,69.67,5.7,3,2,0.4,6,0,0.2,8,5,0.03,0,0,0,0,0,0,220
1100,140,59.9,6,12,3,2,5,0,0,6,6,0.1,0,0,0,0,0,0,224
1040,137,68.902,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0.003,1000
1040,137,60.4,5.6,5,8,6,0,0,1,6,8,0,0,0,0,0,0,0,444
1040,137,61.7,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0,0,0,610
1040,137,70.7,5.6,0,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0,0,0,950
1040,137,61.9,5.6,5,10,0,0,0,1.5,12,4,0,0,0,0,0,0,0,370
1040,137,59.3,5.6,10,5,2,3,0,0,9,6,0.1,0,0,0,0,0,0,750
1050,140,67,6,6,8,2,0,0,2,4,5,0,0,0,0,0,0,0,282
1040,137,66.3,5.5,5,8,0,0,0,2.2,3,10,0,0,0,0,0,0,0,472
1040,137,64.5,5,5,8,2,0,0,1.5,6,8,0,0,0,0,0,0,0,896
1040,137,60.527,5.13,8.2,5.59,1.9,0,0,0,7.7,10.95,0,0,0,0.003,0,0,0,2000
1040,140,68.5,5.9,5,9.5,3.8,0,0,2.1,0,5.2,0,0,0,0,0,0,0,1000
1100,140,66.4,5.2,8.5,3.8,1.5,1.6,0,0,6,7,0,0,0,0,0,0,0,142
927,345,60.4,5.6,5,8,6,0,0,1,6,8,0,0,0,0,0,0,0,134.5
1095,117,60.4,5.6,5,8,6,0,0,1,6,8,0,0,0,0,0,0,0,293.1
1000,250,66.4,6,9,5,1.1,0,0,0,4,8.5,0,0,0,0,0,0,0,100
1100,123,66.4,6,9,5,1.1,0,0,0,4,8.5,0,0,0,0,0,0,0,100
1000,250,64.9,6,8.7,4.2,1,2,0,1.2,0,12,0,0,0,0,0,0,0,100
1100,137,64.9,6,8.7,4.2,1,2,0,1.2,0,12,0,0,0,0,0,0,0,100
980,248,60.4,5.6,5,8,6,0,0,1,6,8,0,0,0,0,0,0,0,28
980,248,69.67,5.7,3,2,0.4,6,0,0.2,8,5,0.03,0,0,0,0,0,0,600
980,248,61.7,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0,0,0,130
1100,140,61.9,6,7.1,3.6,1,4.4,2.6,0,7.9,5.4,0.1,0,0,0,0,0,0,263.3
